Model,Test_Method,Accuracy,Recall,Precision,F1-Score,FPR
Random Tree (RT),80% Split,0.8479290450357359,0.8479290450357359,0.8480620896962496,0.8479861446107415,0.045563123791427976
Random Tree (RT),10-Fold CV,0.8507628403625851,0.8507628403625851,0.8509318464364979,0.8507936716520177,-
Random Forest (RF),80% Split,0.8702316369585809,0.8702316369585809,0.870342557375137,0.8702691347186945,0.0388810135034559
Random Forest (RF),10-Fold CV,0.8778717182470869,0.8778717182470869,0.8778296172640069,0.8777965639262041,-
J-48 (Decision Tree),80% Split,0.8451735124429519,0.8451735124429519,0.845244582989793,0.8451988524051571,0.046406807337920075
J-48 (Decision Tree),10-Fold CV,0.8509694904785766,0.8509694904785766,0.8509931936241726,0.8509409111427608,-
Naive Bayes (NB),80% Split,0.6818220959269784,0.6818220959269784,0.7305038207188561,0.6362102980633544,0.09539847083788894
Naive Bayes (NB),10-Fold CV,0.6870414304519573,0.6870414304519573,0.7350687477117008,0.642725068524665,-
XGBoost,80% Split,0.8730732799448894,0.8730732799448894,0.8727995670652401,0.872830353810451,0.038041494329909505
XGBoost,10-Fold CV,0.8771828202637829,0.8771828202637829,0.8770070904336279,0.8769814591410195,-
